Date,Away,AwayPts,Home,HomePts,Diff
2023-12-29,St. Thomas,70,North Dakota,45,25
2023-11-08,Mount Marty,66,North Dakota St.,93,-27
2023-11-20,Wisconsin Stout,72,North Dakota St.,101,-29
2023-12-04,San Jose St.,78,North Dakota St.,83,-5
2023-12-07,Portland,67,North Dakota St.,78,-11
2023-12-10,Oak Hill Christian,14,North Dakota St.,108,-94
2023-12-29,South Dakota,75,North Dakota St.,66,9
2023-11-06,Coastal Georgia,55,North Florida,92,-37
2023-11-16,Presbyterian,81,North Florida,69,12
2023-11-17,Northwestern St.,74,North Florida,80,-6
2023-11-18,Maine,58,North Florida,67,-9
2023-12-02,High Point,86,North Florida,79,7
2023-12-05,Edward Waters,47,North Florida,99,-52
2023-12-09,Georgia Southern,56,North Florida,64,-8
2023-12-16,Trinity Baptist,72,North Florida,113,-41
2023-11-07,Northern Iowa,77,North Texas,83,-6
2023-11-11,Nebraska Omaha,64,North Texas,75,-11
2023-11-16,St. John's,53,North Texas,52,1
2023-11-26,Angelo St.,50,North Texas,79,-29
2023-12-02,Mississippi Valley St.,48,North Texas,79,-31
2023-12-23,UT Arlington,52,North Texas,78,-26
2023-12-30,LSU Shreveport,57,North Texas,80,-23
2023-11-06,Boston University,58,Northeastern,67,-9
2023-11-20,Kennesaw St.,79,Northeastern,77,2
2023-11-21,Georgia Southern,76,Northeastern,93,-17
2023-12-02,Old Dominion,68,Northeastern,81,-13
2023-12-06,Vermont,73,Northeastern,71,2
2023-11-18,VMI,69,Northern Arizona,78,-9
2023-12-02,Pacific,58,Northern Arizona,78,-20
2023-12-16,Southern Utah,74,Northern Arizona,76,-2
2023-11-06,Colorado College,58,Northern Colorado,87,-29
2023-11-08,Northern New Mexico,60,Northern Colorado,81,-21
2023-11-14,Colorado St.,83,Northern Colorado,64,19
2023-11-21,Chicago St.,77,Northern Colorado,78,-1
2023-11-22,Radford,79,Northern Colorado,68,11
2023-12-02,Cal St. Northridge,71,Northern Colorado,75,-4
2023-12-30,Northern Arizona,77,Northern Colorado,92,-15
2023-11-11,Appalachian St.,78,Northern Illinois,91,-13
2023-11-13,Illinois Tech,55,Northern Illinois,107,-52
2023-12-05,Indiana St.,90,Northern Illinois,67,23
2023-12-18,Calumet,48,Northern Illinois,92,-44
2023-12-21,Northern Iowa,76,Northern Illinois,63,13
2023-11-14,Loras,50,Northern Iowa,90,-40
2023-11-22,North Carolina,91,Northern Iowa,69,22
2023-11-29,Belmont,90,Northern Iowa,70,20
2023-12-06,Richmond,73,Northern Iowa,78,-5
2023-12-12,Prairie View A&M,55,Northern Iowa,74,-19
2023-12-17,Alcorn St.,82,Northern Iowa,100,-18
2023-11-14,DePauw,68,Northern Kentucky,85,-17
2023-11-22,Texas A&M Corpus Chris,73,Northern Kentucky,88,-15
2023-11-25,LIU,64,Northern Kentucky,72,-8
2023-11-29,Robert Morris,59,Northern Kentucky,77,-18
2023-12-09,Akron,77,Northern Kentucky,76,1
2023-12-14,Cumberlands,59,Northern Kentucky,94,-35
2023-11-06,Binghamton,61,Northwestern,72,-11
2023-11-10,Dayton,66,Northwestern,71,-5
2023-11-14,Western Michigan,59,Northwestern,63,-4
2023-11-18,Rhode Island,61,Northwestern,72,-11
2023-11-19,Mississippi St.,66,Northwestern,57,9
2023-11-27,Northern Illinois,67,Northwestern,89,-22
2023-12-01,Purdue,88,Northwestern,92,-4
2023-12-10,Detroit Mercy,59,Northwestern,91,-32
2023-12-13,Chicago St.,75,Northwestern,73,2
2023-12-29,Jackson St.,63,Northwestern,74,-11
2023-11-06,Dallas Christian,54,Northwestern St.,101,-47
2023-11-13,Stephen F. Austin,96,Northwestern St.,70,26
2023-11-16,Maine,78,Northwestern St.,65,13
2023-12-16,Rice,76,Northwestern St.,51,25
2023-12-19,Southern New Orleans,75,Northwestern St.,99,-24
2023-11-06,Niagara,63,Notre Dame,70,-7
2023-11-11,Western Carolina,71,Notre Dame,61,10
2023-11-16,Auburn,83,Notre Dame,59,24
2023-11-17,Oklahoma St.,64,Notre Dame,66,-2
2023-11-22,Maryland Eastern Shore,55,Notre Dame,75,-20
2023-12-05,Western Michigan,65,Notre Dame,86,-21
2023-12-16,Georgetown,72,Notre Dame,68,4
2023-12-19,The Citadel,65,Notre Dame,45,20
2023-12-22,Marist,56,Notre Dame,60,-4
2023-12-30,Virginia,54,Notre Dame,76,-22
2023-11-14,Bowling Green,62,Oakland,81,-19
2023-12-02,Purdue Fort Wayne,98,Oakland,77,21
2023-12-06,Toledo,69,Oakland,68,1
2023-11-08,Troy,70,Ohio,88,-18
2023-11-18,Detroit Mercy,52,Ohio,71,-19
2023-11-25,Middle Tennessee,68,Ohio,80,-12
2023-11-26,Brown,77,Ohio,82,-5
2023-12-02,Delaware,73,Ohio,74,-1
2023-12-06,Youngstown St.,78,Ohio,72,6
2023-12-09,Marshall,74,Ohio,69,5
2023-12-18,Defiance,28,Ohio,108,-80
2023-12-30,Davidson,72,Ohio,69,3
2023-11-06,Oakland,73,Ohio St.,79,-6
2023-11-10,Texas A&M,73,Ohio St.,66,7
2023-11-15,Merrimack,52,Ohio St.,76,-24
2023-11-19,Western Michigan,56,Ohio St.,73,-17
2023-11-24,Alabama,81,Ohio St.,92,-11
2023-11-29,Central Michigan,61,Ohio St.,88,-27
2023-12-03,Minnesota,74,Ohio St.,84,-10
2023-12-06,Miami OH,64,Ohio St.,84,-20
2023-12-16,UCLA,60,Ohio St.,67,-7
2023-12-21,New Orleans,36,Ohio St.,78,-42
2023-12-30,West Virginia,75,Ohio St.,78,-3
2023-11-06,Central Michigan,59,Oklahoma,89,-30
2023-11-10,Mississippi Valley St.,43,Oklahoma,82,-39
2023-11-14,Texas St.,54,Oklahoma,93,-39
2023-11-17,UT Rio Grande Valley,66,Oklahoma,90,-24
2023-11-30,Arkansas Pine Bluff,86,Oklahoma,107,-21
2023-12-05,Providence,51,Oklahoma,72,-21
2023-12-09,Arkansas,70,Oklahoma,79,-9
2023-12-16,Green Bay,47,Oklahoma,81,-34
2023-12-28,Central Arkansas,72,Oklahoma,88,-16
2023-12-31,Monmouth,56,Oklahoma,72,-16
2023-11-06,Abilene Christian,64,Oklahoma St.,59,5
2023-11-12,Sam Houston St.,70,Oklahoma St.,85,-15
2023-11-16,St. Bonaventure,66,Oklahoma St.,64,2
2023-11-20,New Orleans,68,Oklahoma St.,96,-28
2023-11-24,Houston Christian,65,Oklahoma St.,92,-27
2023-11-30,Creighton,79,Oklahoma St.,65,14
2023-12-10,Tulsa,57,Oklahoma St.,72,-15
2023-12-17,Oral Roberts,60,Oklahoma St.,81,-21
2023-12-20,Wofford,70,Oklahoma St.,76,-6
2023-12-31,South Carolina St.,70,Oklahoma St.,86,-16
2023-11-06,Virginia Wesleyan,57,Old Dominion,71,-14
2023-11-22,Princeton,76,Old Dominion,56,20
2023-11-26,Drexel,61,Old Dominion,68,-7
2023-11-29,Radford,68,Old Dominion,69,-1
2023-12-09,James Madison,84,Old Dominion,69,15
2023-12-21,TCU,111,Old Dominion,87,24
2023-12-22,Temple,63,Old Dominion,78,-15
2023-12-30,South Alabama,61,Old Dominion,59,2
2023-11-10,Mid America Christian,69,Oral Roberts,74,-5
2023-11-21,Texas Southern,63,Oral Roberts,65,-2
2023-12-02,Tulsa,70,Oral Roberts,79,-9
2023-12-09,Ozark Christian,51,Oral Roberts,110,-59
2023-12-19,John Brown,59,Oral Roberts,71,-12
2023-11-06,Georgia,71,Oregon,82,-11
2023-11-10,Montana,61,Oregon,75,-14
2023-11-17,Tennessee St.,67,Oregon,92,-25
2023-11-25,Alabama,99,Oregon,91,8
2023-12-02,Michigan,83,Oregon,86,-3
2023-12-09,UTEP,49,Oregon,71,-22
2023-12-12,Cal Baptist,55,Oregon,76,-21
2023-12-17,Syracuse,83,Oregon,63,20
2023-12-21,Kent St.,70,Oregon,84,-14
2023-12-28,USC,74,Oregon,82,-8
2023-12-30,UCLA,59,Oregon,64,-5
2023-11-06,Linfield,46,Oregon St.,82,-36
2023-11-10,Troy,80,Oregon St.,81,-1
2023-11-14,Appalachian St.,71,Oregon St.,81,-10
2023-11-22,Baylor,88,Oregon St.,72,16
2023-11-30,UC Davis,59,Oregon St.,71,-12
2023-12-04,Cal Poly,63,Oregon St.,70,-7
2023-12-09,Utah Valley,71,Oregon St.,74,-3
2023-12-17,UTSA,65,Oregon St.,66,-1
2023-12-21,Idaho St.,57,Oregon St.,76,-19
2023-12-28,UCLA,69,Oregon St.,62,7
2023-12-30,USC,70,Oregon St.,86,-16
2023-11-06,Sam Houston St.,64,Pacific,57,7
2023-11-18,Lamar,76,Pacific,77,-1
2023-11-20,North Dakota,73,Pacific,71,2
2023-11-24,Le Moyne,71,Pacific,73,-2
2023-11-26,Mississippi Valley St.,65,Pacific,68,-3
2023-11-29,Cal St. Northridge,80,Pacific,69,11
2023-12-16,UC Davis,82,Pacific,61,21
2023-12-18,Cal St.Stanislaus,46,Pacific,68,-22
2023-12-30,California Maritime,66,Pacific,80,-14
2023-11-06,John Jay,57,Penn,102,-45
2023-11-08,Bucknell,61,Penn,80,-19
2023-11-13,Villanova,72,Penn,76,-4
2023-11-24,Lafayette,72,Penn,74,-2
2023-11-25,Belmont,84,Penn,79,5
2023-11-26,Monmouth,61,Penn,76,-15
2023-12-02,La Salle,93,Penn,92,1
2023-12-06,FDU Florham,57,Penn,111,-54
2023-12-09,Kentucky,81,Penn,66,15
2023-12-11,Howard,68,Penn,78,-10
2023-11-06,Delaware St.,45,Penn St.,79,-34
2023-11-10,Lehigh,65,Penn St.,74,-9
2023-11-14,Saint Francis,53,Penn St.,83,-30
2023-11-17,Morehead St.,51,Penn St.,74,-23
2023-12-02,Bucknell,76,Penn St.,67,9
2023-12-09,Ohio St.,80,Penn St.,83,-3
2023-12-16,Georgia Tech,82,Penn St.,81,1
2023-12-21,Le Moyne,55,Penn St.,72,-17
2023-12-29,Rider,63,Penn St.,90,-27
2023-11-06,Concordia CA,64,Pepperdine,76,-12
2023-11-12,Lafayette,53,Pepperdine,76,-23
2023-11-13,LIU,53,Pepperdine,88,-35
2023-11-17,UNLV,82,Pepperdine,68,14
2023-11-22,Indiana St.,90,Pepperdine,82,8
2023-11-28,Idaho St.,62,Pepperdine,77,-15
2023-12-06,Cal St. Fullerton,60,Pepperdine,55,5
2023-12-09,UC San Diego,62,Pepperdine,68,-6
2023-12-21,William & Mary,59,Pepperdine,71,-12
2023-12-29,Westcliff,47,Pepperdine,83,-36
2023-11-06,North Carolina A&T,52,Pittsburgh,100,-48
2023-11-10,Binghamton,60,Pittsburgh,89,-29
2023-11-13,Florida Gulf Coast,74,Pittsburgh,86,-12
2023-11-17,Jacksonville,56,Pittsburgh,107,-51
2023-11-22,Florida,86,Pittsburgh,71,15
2023-11-24,Oregon St.,51,Pittsburgh,76,-25
2023-11-28,Missouri,71,Pittsburgh,64,7
2023-12-03,Clemson,79,Pittsburgh,70,9
2023-12-09,Canisius,71,Pittsburgh,82,-11
2023-12-16,South Carolina St.,50,Pittsburgh,86,-36
2023-12-20,Purdue Fort Wayne,48,Pittsburgh,62,-14
2023-11-06,Long Beach St.,73,Portland,78,-5
2023-11-08,Lewis & Clark,72,Portland,89,-17
2023-11-12,UC Riverside,65,Portland,76,-11
2023-11-15,Tennessee St.,75,Portland,65,10
2023-11-25,Willamette,84,Portland,107,-23
2023-12-01,Wyoming,70,Portland,81,-11
2023-12-03,Air Force,80,Portland,58,22
2023-12-22,Massachusetts,100,Portland,78,22
2023-12-24,Temple,55,Portland,54,1
2023-11-12,Linfield,53,Portland St.,70,-17
2023-11-19,St. Thomas,76,Portland St.,70,6
2023-11-28,Portland,74,Portland St.,75,-1
2023-12-06,Lewis & Clark,60,Portland St.,104,-44
2023-12-09,George Fox,77,Portland St.,83,-6
2023-11-06,Kansas Christian,66,Prairie View A&M,89,-23
2023-12-18,North American,61,Prairie View A&M,92,-31
2023-11-09,Columbia International,58,Presbyterian,100,-42
2023-11-13,The Citadel,64,Presbyterian,71,-7
2023-11-18,Northwestern St.,75,Presbyterian,78,-3
2023-11-22,Tennessee Tech,79,Presbyterian,75,4
2023-12-06,Florida A&M,65,Presbyterian,60,5
2023-12-13,Mid Atlantic Christian,51,Presbyterian,118,-67
2023-12-16,Kennesaw St.,94,Presbyterian,84,10
2023-12-30,Johnson & Wales NC,67,Presbyterian,91,-24
2023-11-25,Northeastern,66,Princeton,80,-14
2023-12-02,Furman,69,Princeton,70,-1
2023-12-05,Drexel,70,Princeton,81,-11
2023-12-13,Bryn Athyn,40,Princeton,92,-52
2023-12-22,Delaware Valley,53,Princeton,84,-31
2023-11-06,Columbia,59,Providence,78,-19
2023-11-11,Milwaukee,69,Providence,79,-10
2023-11-14,Wisconsin,59,Providence,72,-13
2023-11-17,Kansas St.,73,Providence,70,3
2023-11-19,Georgia,64,Providence,71,-7
2023-11-24,Lehigh,64,Providence,78,-14
2023-11-28,Wagner,52,Providence,86,-34
2023-12-02,Rhode Island,69,Providence,84,-15
2023-12-10,Brown,54,Providence,74,-20
2023-12-16,Sacred Heart,64,Providence,78,-14
2023-12-19,Marquette,57,Providence,72,-15
2023-12-23,Butler,75,Providence,85,-10
2023-11-06,Samford,45,Purdue,98,-53
2023-11-10,Morehead St.,57,Purdue,87,-30
2023-11-13,Xavier,71,Purdue,83,-12
2023-11-21,Tennessee,67,Purdue,71,-4
2023-11-28,Texas Southern,67,Purdue,99,-32
2023-12-04,Iowa,68,Purdue,87,-19
2023-12-16,Arizona,84,Purdue,92,-8
2023-12-21,Jacksonville,57,Purdue,100,-43
2023-12-29,Eastern Kentucky,53,Purdue,80,-27
2023-11-09,Andrews,34,Purdue Fort Wayne,130,-96
2023-11-12,Texas A&M Commerce,64,Purdue Fort Wayne,86,-22
2023-11-17,Northern Arizona,67,Purdue Fort Wayne,77,-10
2023-11-18,South Dakota,81,Purdue Fort Wayne,93,-12
2023-11-25,Wittenberg,64,Purdue Fort Wayne,95,-31
2023-11-29,Green Bay,71,Purdue Fort Wayne,75,-4
2023-12-09,Southeast Missouri St.,80,Purdue Fort Wayne,89,-9
2023-12-16,Bethune Cookman,63,Purdue Fort Wayne,86,-23
2023-12-29,Northern Kentucky,60,Purdue Fort Wayne,73,-13
2023-12-31,Detroit Mercy,56,Purdue Fort Wayne,91,-35
2023-11-14,High Point,72,Queens,74,-2
2023-11-22,Fairleigh Dickinson,84,Queens,97,-13
2023-11-29,Gardner Webb,80,Queens,83,-3
2023-12-01,Carolina Christian,69,Queens,134,-65
2023-12-09,Carolina,64,Queens,112,-48
2023-12-13,Appalachian St.,93,Queens,81,12
2023-11-06,Coast Guard,48,Quinnipiac,116,-68
2023-11-10,Central Connecticut,70,Quinnipiac,74,-4
2023-11-19,Albany,82,Quinnipiac,85,-3
2023-11-26,Stonehill,69,Quinnipiac,80,-11
2023-12-08,Navy,68,Quinnipiac,71,-3
2023-12-11,Yale,73,Quinnipiac,66,7
2023-11-12,Eastern Mennonite,47,Radford,84,-37
2023-11-21,Morgan St.,72,Radford,82,-10
2023-11-26,Notre Dame MD,53,Radford,100,-47
2023-12-03,Elon,72,Radford,82,-10
2023-12-09,North Carolina Central,74,Radford,82,-8
2023-12-12,VMI,56,Radford,73,-17
2023-11-06,Central Connecticut,70,Rhode Island,81,-11
2023-11-09,Fairfield,80,Rhode Island,93,-13
2023-11-14,Wagner,53,Rhode Island,69,-16
2023-11-19,Washington St.,78,Rhode Island,57,21
2023-11-22,Johnson & Wales RI,59,Rhode Island,97,-38
2023-11-26,Yale,72,Rhode Island,76,-4
2023-12-06,Brown,67,Rhode Island,64,3
2023-12-16,Delaware,67,Rhode Island,56,11
2023-12-21,New Hampshire,81,Rhode Island,71,10
2023-12-30,Northeastern,71,Rhode Island,82,-11
2023-11-07,St. Thomas TX,57,Rice,101,-44
2023-11-10,Harvard,89,Rice,76,13
2023-11-22,New Mexico,90,Rice,56,34
2023-11-30,Tennessee Martin,78,Rice,98,-20
2023-12-02,Houston Christian,56,Rice,65,-9
2023-12-13,Incarnate Word,57,Rice,80,-23
2023-12-20,Prairie View A&M,56,Rice,82,-26
2023-12-22,Louisiana,84,Rice,67,17
2023-11-06,VMI,75,Richmond,93,-18
2023-11-11,Siena,48,Richmond,90,-42
2023-11-20,Colorado,64,Richmond,59,5
2023-11-21,UNLV,65,Richmond,82,-17
2023-11-25,Queens,61,Richmond,90,-29
2023-12-02,William & Mary,69,Richmond,88,-19
2023-12-16,Charlotte,56,Richmond,64,-8
2023-12-21,Buffalo,66,Richmond,72,-6
2023-12-30,Lafayette,38,Richmond,59,-21
2023-11-06,Immaculata,67,Rider,113,-46
2023-12-03,Fairfield,88,Rider,81,7
2023-12-08,Stonehill,56,Rider,73,-17
2023-12-23,Penn,77,Rider,73,4
2023-11-09,Point Park,56,Robert Morris,66,-10
2023-11-24,Jacksonville,74,Robert Morris,65,9
2023-11-26,Fairleigh Dickinson,86,Robert Morris,97,-11
2023-12-02,Youngstown St.,71,Robert Morris,57,14
2023-12-11,Delaware,73,Robert Morris,69,4
2023-12-17,St. Vincent,46,Robert Morris,95,-49
2023-12-22,Cornell,90,Robert Morris,85,5
2023-11-06,Princeton,68,Rutgers,61,7
2023-11-10,Boston University,45,Rutgers,69,-24
2023-11-12,Bryant,57,Rutgers,66,-9
2023-11-15,Georgetown,60,Rutgers,71,-11
2023-11-18,Howard,63,Rutgers,85,-22
2023-11-27,Saint Peter's,40,Rutgers,71,-31
2023-12-02,Illinois,76,Rutgers,58,18
2023-12-16,LIU,61,Rutgers,83,-22
2023-12-23,Mississippi St.,70,Rutgers,60,10
2023-12-30,Stonehill,58,Rutgers,59,-1
2023-11-09,North Park,67,SIU Edwardsville,92,-25
2023-11-16,Denver,74,SIU Edwardsville,77,-3
2023-11-25,Detroit Mercy,67,SIU Edwardsville,81,-14
2023-11-28,Missouri Baptist,62,SIU Edwardsville,86,-24
2023-12-06,Green Bay,69,SIU Edwardsville,78,-9
2023-12-18,Central Christian MO,56,SIU Edwardsville,99,-43
2023-12-29,Eastern Illinois,58,SIU Edwardsville,67,-9
2023-12-31,Western Illinois,78,SIU Edwardsville,70,8
2023-11-06,SW Assemblies of God,63,SMU,82,-19
2023-11-08,Western Illinois,53,SMU,90,-37
2023-11-09,Lamar,67,SMU,78,-11
2023-11-14,Texas A&M,79,SMU,66,13
2023-11-20,West Virginia,58,SMU,70,-12
2023-11-22,Wisconsin,69,SMU,61,8
2023-11-26,Louisiana Monroe,57,SMU,70,-13
2023-11-29,Dayton,65,SMU,63,2
2023-12-03,Texas A&M Commerce,47,SMU,90,-43
2023-12-19,Houston Christian,53,SMU,89,-36
2023-11-14,Pacific Union,66,Sacramento St.,128,-62
2023-11-20,Cal St. Bakersfield,75,Sacramento St.,71,4
2023-12-09,Cal St. Fullerton,62,Sacramento St.,60,2
2023-12-18,UC San Diego,83,Sacramento St.,52,31
2023-12-21,Bethesda,45,Sacramento St.,100,-55
2023-11-06,Sarah Lawrence,51,Sacred Heart,95,-44
2023-11-21,Binghamton,75,Sacred Heart,89,-14
2023-11-30,New Hampshire,90,Sacred Heart,84,6
2023-12-02,Boston University,70,Sacred Heart,49,21
2023-12-09,Fairfield,67,Sacred Heart,57,10
2023-12-21,Dartmouth,57,Sacred Heart,67,-10
2023-12-30,Mercy,63,Sacred Heart,92,-29
2023-11-20,Pittsburgh Greensburg,63,Saint Francis,77,-14
2023-11-22,Franciscan,54,Saint Francis,107,-53
2023-11-25,Niagara,69,Saint Francis,61,8
2023-12-15,Mount St. Mary's,72,Saint Francis,65,7
2023-12-20,Robert Morris,75,Saint Francis,73,2
2023-12-30,Campbell,76,Saint Francis,78,-2
2023-11-06,Lafayette,60,Saint Joseph's,81,-21
2023-11-10,Penn,61,Saint Joseph's,69,-8
2023-11-14,Stonehill,56,Saint Joseph's,100,-44
2023-11-17,Texas A&M Commerce,57,Saint Joseph's,54,3
2023-11-26,Sacred Heart,55,Saint Joseph's,64,-9
2023-12-02,Temple,65,Saint Joseph's,74,-9
2023-12-06,American,53,Saint Joseph's,69,-16
2023-12-10,Princeton,70,Saint Joseph's,74,-4
2023-12-16,Iona,58,Saint Joseph's,83,-25
2023-12-29,Loyola MD,56,Saint Joseph's,97,-41
2023-11-06,Southern Indiana,63,Saint Louis,75,-12
2023-11-08,Lincoln MO,66,Saint Louis,102,-36
2023-11-11,Illinois St.,71,Saint Louis,80,-9
2023-11-17,Vermont,78,Saint Louis,68,10
2023-11-25,Dartmouth,65,Saint Louis,66,-1
2023-11-28,Utah St.,81,Saint Louis,76,5
2023-12-09,Hofstra,68,Saint Louis,71,-3
2023-12-16,Louisiana Tech,74,Saint Louis,75,-1
2023-11-06,Cal St.Stanislaus,28,Saint Mary's,107,-79
2023-11-09,New Mexico,58,Saint Mary's,72,-14
2023-11-12,Weber St.,61,Saint Mary's,57,4
2023-11-17,San Diego St.,79,Saint Mary's,54,25
2023-11-24,Davidson,55,Saint Mary's,89,-34
2023-11-27,Utah,78,Saint Mary's,71,7
2023-12-05,Cleveland St.,57,Saint Mary's,70,-13
2023-12-16,UNLV,67,Saint Mary's,69,-2
2023-12-19,Middle Tennessee,34,Saint Mary's,71,-37
2023-12-21,Northern Kentucky,56,Saint Mary's,92,-36
2023-12-23,Missouri St.,69,Saint Mary's,64,5
2023-12-29,Kent St.,46,Saint Mary's,66,-20
2023-11-20,UMass Lowell,69,Saint Peter's,61,8
2023-12-12,UMBC,60,Saint Peter's,66,-6
2023-12-22,Kean,70,Saint Peter's,73,-3
2023-11-09,Utah Valley,79,Sam Houston St.,73,6
2023-11-22,Grambling St.,68,Sam Houston St.,86,-18
2023-11-25,Paul Quinn,61,Sam Houston St.,78,-17
2023-12-03,Lamar,70,Sam Houston St.,90,-20
2023-12-12,Louisiana Monroe,62,Sam Houston St.,63,-1
2023-12-15,Texas St.,73,Sam Houston St.,60,13
2023-11-14,Mississippi College,52,Samford,96,-44
2023-11-17,South Carolina St.,72,Samford,89,-17
2023-11-22,Alabama St.,67,Samford,99,-32
2023-11-24,Merrimack,71,Samford,79,-8
2023-11-25,North Carolina A&T,83,Samford,101,-18
2023-11-30,Louisiana,65,Samford,88,-23
2023-12-03,LaGrange,82,Samford,128,-46
2023-12-11,Alabama A&M,91,Samford,118,-27
2023-12-16,Belmont,93,Samford,99,-6
2023-11-06,Sonoma St.,64,San Diego,68,-4
2023-11-08,Jackson St.,61,San Diego,87,-26
2023-11-17,Le Moyne,71,San Diego,80,-9
2023-11-20,Navy,59,San Diego,67,-8
2023-11-24,Arkansas St.,57,San Diego,71,-14
2023-11-25,Hawaii,77,San Diego,66,11
2023-11-29,Northern Colorado,72,San Diego,74,-2
2023-12-09,Arizona St.,84,San Diego,89,-5
2023-12-15,Portland St.,65,San Diego,69,-4
2023-12-21,South Dakota,66,San Diego,69,-3
2023-12-29,Fresno St.,71,San Diego,67,4
2023-12-31,Westcliff,65,San Diego,78,-13
2023-11-06,Cal St. Fullerton,57,San Diego St.,83,-26
2023-11-14,Long Beach St.,76,San Diego St.,88,-12
2023-11-25,California,67,San Diego St.,76,-9
2023-11-27,Point Loma Nazarene,51,San Diego St.,71,-20
2023-12-09,UC Irvine,62,San Diego St.,63,-1
2023-12-19,Saint Katherine,57,San Diego St.,91,-34
2023-12-21,Stanford,60,San Diego St.,74,-14
2023-11-06,Bethesda,59,San Francisco,128,-69
2023-11-09,Saint Francis,52,San Francisco,84,-32
2023-11-22,Purdue Fort Wayne,60,San Francisco,76,-16
2023-11-26,Minnesota,58,San Francisco,76,-18
2023-12-11,New Orleans,72,San Francisco,85,-13
2023-12-13,Seattle,59,San Francisco,62,-3
2023-12-20,Northern Arizona,51,San Francisco,91,-40
2023-12-22,Fresno St.,57,San Francisco,77,-20
2023-12-30,Mississippi Valley St.,42,San Francisco,92,-50
2023-11-07,UC Irvine,64,San Jose St.,72,-8
2023-11-09,Bethesda,72,San Jose St.,117,-45
2023-11-17,Abilene Christian,77,San Jose St.,71,6
2023-11-18,Norfolk St.,53,San Jose St.,77,-24
2023-11-27,North Dakota St.,65,San Jose St.,78,-13
2023-12-09,New Orleans,82,San Jose St.,87,-5
2023-12-17,Montana,86,San Jose St.,75,11
2023-12-20,Santa Clara,78,San Jose St.,81,-3
2023-11-08,Utah Tech,69,Santa Clara,77,-8
2023-11-11,Saint Francis,59,Santa Clara,82,-23
2023-11-18,Southeastern Louisiana,63,Santa Clara,65,-2
2023-11-20,Mississippi Valley St.,39,Santa Clara,81,-42
2023-11-24,Oregon,82,Santa Clara,88,-6
2023-11-25,Ohio St.,86,Santa Clara,56,30
2023-11-29,Menlo,69,Santa Clara,106,-37
2023-12-13,Utah St.,84,Santa Clara,82,2
2023-12-23,Duquesne,73,Santa Clara,81,-8
2023-12-30,Yale,66,Santa Clara,58,8
2023-11-08,Prairie View A&M,60,Seattle,71,-11
2023-11-11,Montana St.,68,Seattle,71,-3
2023-11-15,Northern Arizona,62,Seattle,60,2
2023-11-22,Idaho,55,Seattle,92,-37
2023-11-26,UC San Diego,67,Seattle,79,-12
2023-12-02,Southern Utah,63,Seattle,73,-10
2023-12-09,Northwest,46,Seattle,101,-55
2023-12-17,Washington,100,Seattle,99,1
2023-12-20,Louisiana Tech,73,Seattle,79,-6
2023-11-06,Saint Peter's,59,Seton Hall,70,-11
2023-11-11,Fairleigh Dickinson,55,Seton Hall,85,-30
2023-11-15,Albany,71,Seton Hall,96,-25
2023-11-18,Wagner,51,Seton Hall,72,-21
2023-11-24,Iowa,85,Seton Hall,72,13
2023-11-29,Northeastern,75,Seton Hall,88,-13
2023-12-09,Rutgers,70,Seton Hall,63,7
2023-12-12,Monmouth,61,Seton Hall,70,-9
2023-12-20,Connecticut,60,Seton Hall,75,-15
2023-11-06,Holy Cross,71,Siena,73,-2
2023-11-26,Albany,86,Siena,51,35
2023-12-01,Rider,65,Siena,67,-2
2023-12-06,Bryant,67,Siena,51,16
2023-12-19,Cornell,95,Siena,74,21
2023-11-06,Mobile,83,South Alabama,74,9
2023-11-16,Nicholls St.,102,South Alabama,97,5
2023-11-17,Denver,75,South Alabama,82,-7
2023-11-19,SIU Edwardsville,74,South Alabama,86,-12
2023-11-21,Lynn,62,South Alabama,74,-12
2023-12-09,Spring Hill,74,South Alabama,91,-17
2023-12-21,Alabama A&M,67,South Alabama,83,-16
2023-11-06,USC Upstate,53,South Carolina,82,-29
2023-11-10,Virginia Tech,77,South Carolina,79,-2
2023-11-13,VMI,64,South Carolina,74,-10
2023-11-17,DePaul,68,South Carolina,73,-5
2023-11-28,Notre Dame,53,South Carolina,65,-12
2023-12-01,George Washington,67,South Carolina,89,-22
2023-12-16,Charleston Southern,69,South Carolina,73,-4
2023-12-19,Winthrop,62,South Carolina,72,-10
2023-12-22,Elon,43,South Carolina,70,-27
2023-12-30,Florida A&M,62,South Carolina,94,-32
2023-11-06,Voorhees,57,South Carolina St.,65,-8
2023-11-13,North Florida,77,South Carolina St.,87,-10
2023-12-09,Bethune Cookman,80,South Carolina St.,71,9
2023-12-11,Jacksonville,85,South Carolina St.,86,-1
2023-12-22,Brewton Parker,84,South Carolina St.,101,-17
2023-11-06,Mount Marty,53,South Dakota,85,-32
2023-11-10,UT Rio Grande Valley,79,South Dakota,100,-21
2023-11-22,Northland,48,South Dakota,100,-52
2023-11-26,Air Force,58,South Dakota,57,1
2023-11-28,Waldorf,71,South Dakota,93,-22
2023-12-09,Cal St. Bakersfield,73,South Dakota,78,-5
2023-12-31,Nebraska Omaha,67,South Dakota,51,16
2023-11-06,Akron,81,South Dakota St.,75,6
2023-11-08,Dakota Wesleyan,55,South Dakota St.,83,-28
2023-11-20,George Mason,73,South Dakota St.,71,2
2023-11-27,Mount Marty,70,South Dakota St.,92,-22
